dataset,feature_set,model,trial,acquisition,labelled_n,pool_n,holdout_mape,budget_total,labelled_fraction,b0_labelled_n,early_alc_eligible
Formation,set1_dQn_m,RF,1,exploration,36,146,12.032310232481048,36,0.2465753424657534,12,True
Formation,set1_dQn_m,RF,1,exploration,48,146,10.909093657576674,48,0.3287671232876712,12,True
Formation,set1_dQn_m,RF,1,exploration,60,146,10.032341912409786,60,0.410958904109589,12,True
Formation,set1_dQn_m,RF,1,exploration,72,146,11.110847283715389,72,0.4931506849315068,12,True
Formation,set1_dQn_m,RF,1,exploration,84,146,10.550343320601453,84,0.5753424657534246,12,True
Formation,set1_dQn_m,RF,1,exploration,96,146,10.388954091874975,96,0.6575342465753424,12,False
Formation,set1_dQn_m,RF,1,exploration,108,146,10.422316971645849,108,0.7397260273972602,12,False
Formation,set1_dQn_m,RF,1,exploration,120,146,10.679015409109349,120,0.821917808219178,12,False
Formation,set1_dQn_m,RF,1,exploration,132,146,10.305760221695884,132,0.9041095890410958,12,False
Formation,set1_dQn_m,RF,1,exploration,144,146,10.376963954908376,144,0.9863013698630136,12,False
Formation,set1_dQn_m,RF,1,exploration,146,146,10.124466910966762,146,1.0,12,False
Formation,set1_dQn_m,RF,1,exploitation,12,146,13.494092097465838,12,0.0821917808219178,12,False
Formation,set1_dQn_m,RF,1,exploitation,24,146,14.8941728318672,24,0.1643835616438356,12,True
Formation,set1_dQn_m,RF,1,exploitation,36,146,14.13889357342088,36,0.2465753424657534,12,True
Formation,set1_dQn_m,RF,1,exploitation,48,146,12.366507865620212,48,0.3287671232876712,12,True
Formation,set1_dQn_m,RF,1,exploitation,60,146,12.212272178438866,60,0.410958904109589,12,True
Formation,set1_dQn_m,RF,1,exploitation,72,146,11.741981715243924,72,0.4931506849315068,12,True
Formation,set1_dQn_m,RF,1,exploitation,84,146,11.069778420387156,84,0.5753424657534246,12,True
Formation,set1_dQn_m,RF,1,exploitation,96,146,10.945766177968563,96,0.6575342465753424,12,False
Formation,set1_dQn_m,RF,1,exploitation,108,146,10.272916075194193,108,0.7397260273972602,12,False
Formation,set1_dQn_m,RF,1,exploitation,120,146,10.248089335173152,120,0.821917808219178,12,False
Formation,set1_dQn_m,RF,1,exploitation,132,146,9.927784435139866,132,0.9041095890410958,12,False
Formation,set1_dQn_m,RF,1,exploitation,144,146,10.837046334357094,144,0.9863013698630136,12,False
Formation,set1_dQn_m,RF,1,exploitation,146,146,10.124466910966762,146,1.0,12,False
Formation,set1_dQn_m,RF,1,hybrid,12,146,13.494092097465838,12,0.0821917808219178,12,False
Formation,set1_dQn_m,RF,1,hybrid,24,146,15.134332438426812,24,0.1643835616438356,12,True
Formation,set1_dQn_m,RF,1,hybrid,36,146,14.927998437395186,36,0.2465753424657534,12,True
Formation,set1_dQn_m,RF,1,hybrid,48,146,10.493321657650975,48,0.3287671232876712,12,True
Formation,set1_dQn_m,RF,1,hybrid,60,146,10.823938543785534,60,0.410958904109589,12,True
Formation,set1_dQn_m,RF,1,hybrid,72,146,10.69465495455337,72,0.4931506849315068,12,True
Formation,set1_dQn_m,RF,1,hybrid,84,146,10.115920786708532,84,0.5753424657534246,12,True
Formation,set1_dQn_m,RF,1,hybrid,96,146,10.88346038710186,96,0.6575342465753424,12,False
Formation,set1_dQn_m,RF,1,hybrid,108,146,10.61742446932972,108,0.7397260273972602,12,False
Formation,set1_dQn_m,RF,1,hybrid,120,146,9.291788995352372,120,0.821917808219178,12,False
Formation,set1_dQn_m,RF,1,hybrid,132,146,9.808958656667476,132,0.9041095890410958,12,False
Formation,set1_dQn_m,RF,1,hybrid,144,146,10.26384266928634,144,0.9863013698630136,12,False
Formation,set1_dQn_m,RF,1,hybrid,146,146,10.124466910966762,146,1.0,12,False
Formation,set1_dQn_m,AE_ENet,1,random_selection,12,146,14.047814186516344,12,0.0821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,random_selection,24,146,15.91398835521097,24,0.1643835616438356,12,True
Formation,set1_dQn_m,AE_ENet,1,random_selection,36,146,12.580603421285794,36,0.2465753424657534,12,True
Formation,set1_dQn_m,AE_ENet,1,random_selection,48,146,11.05882728748905,48,0.3287671232876712,12,True
Formation,set1_dQn_m,AE_ENet,1,random_selection,60,146,10.841889214808056,60,0.410958904109589,12,True
Formation,set1_dQn_m,AE_ENet,1,random_selection,72,146,10.947118324437149,72,0.4931506849315068,12,True
Formation,set1_dQn_m,AE_ENet,1,random_selection,84,146,11.243858362042328,84,0.5753424657534246,12,True
Formation,set1_dQn_m,AE_ENet,1,random_selection,96,146,11.52654664476256,96,0.6575342465753424,12,False
Formation,set1_dQn_m,AE_ENet,1,random_selection,108,146,11.405625929429362,108,0.7397260273972602,12,False
Formation,set1_dQn_m,AE_ENet,1,random_selection,120,146,12.206898684596084,120,0.821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,random_selection,132,146,11.756111281844332,132,0.9041095890410958,12,False
Formation,set1_dQn_m,AE_ENet,1,random_selection,144,146,11.70272191226952,144,0.9863013698630136,12,False
Formation,set1_dQn_m,AE_ENet,1,random_selection,146,146,11.717356640597606,146,1.0,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,12,146,13.42963655395283,12,0.0821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,24,146,10.167379809215891,24,0.1643835616438356,12,True
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,36,146,12.803065937041865,36,0.2465753424657534,12,True
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,48,146,11.585374527386238,48,0.3287671232876712,12,True
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,60,146,13.325196584384637,60,0.410958904109589,12,True
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,72,146,10.898187713665394,72,0.4931506849315068,12,True
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,84,146,11.53981729242524,84,0.5753424657534246,12,True
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,96,146,11.325198964055282,96,0.6575342465753424,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,108,146,11.966201780570737,108,0.7397260273972602,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,120,146,12.221975517351831,120,0.821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,132,146,11.480687396325646,132,0.9041095890410958,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,144,146,11.683831323731953,144,0.9863013698630136,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_oneshot,146,146,11.717356640597606,146,1.0,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,12,146,13.42963655395283,12,0.0821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,24,146,14.30920017154168,24,0.1643835616438356,12,True
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,36,146,14.458303186486472,36,0.2465753424657534,12,True
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,48,146,12.995596119045777,48,0.3287671232876712,12,True
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,60,146,10.64020969613309,60,0.410958904109589,12,True
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,72,146,10.92237695005188,72,0.4931506849315068,12,True
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,84,146,11.368015808908972,84,0.5753424657534246,12,True
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,96,146,12.06129340477457,96,0.6575342465753424,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,108,146,11.581906259634208,108,0.7397260273972602,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,120,146,11.44798491844846,120,0.821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,132,146,11.63535136718676,132,0.9041095890410958,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,144,146,11.791618642787457,144,0.9863013698630136,12,False
Formation,set1_dQn_m,AE_ENet,1,diversity_iterative,146,146,11.717356640597606,146,1.0,12,False
Formation,set1_dQn_m,AE_ENet,1,coverage,12,146,14.047814186516344,12,0.0821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,coverage,24,146,14.558215560971693,24,0.1643835616438356,12,True
Formation,set1_dQn_m,AE_ENet,1,coverage,36,146,12.20508525923187,36,0.2465753424657534,12,True
Formation,set1_dQn_m,AE_ENet,1,coverage,48,146,10.921670236810954,48,0.3287671232876712,12,True
Formation,set1_dQn_m,AE_ENet,1,coverage,60,146,11.087298998080978,60,0.410958904109589,12,True
Formation,set1_dQn_m,AE_ENet,1,coverage,72,146,11.868770257964854,72,0.4931506849315068,12,True
Formation,set1_dQn_m,AE_ENet,1,coverage,84,146,12.145160163507343,84,0.5753424657534246,12,True
Formation,set1_dQn_m,AE_ENet,1,coverage,96,146,12.563745565433589,96,0.6575342465753424,12,False
Formation,set1_dQn_m,AE_ENet,1,coverage,108,146,12.419055798476904,108,0.7397260273972602,12,False
Formation,set1_dQn_m,AE_ENet,1,coverage,120,146,12.394724461942111,120,0.821917808219178,12,False
Formation,set1_dQn_m,AE_ENet,1,coverage,132,146,11.856429611681492,132,0.9041095890410958,12,False
