dataset,feature_set,model,acquisition,mean_relative_improvement_pct,median_relative_improvement_pct,q25_relative_improvement_pct,q75_relative_improvement_pct,mean_delta_alc_mape,median_delta_alc_mape,mean_absolute_alc_mape,mean_baseline_alc_mape,n_trials
Formation,set3_features,GPR,diversity_oneshot,3.2990568807789664,3.846644569142371,0.832405993258503,7.578706922601354,0.4106391571620932,0.4096661109417514,11.072797162422567,11.48343631958466,10
Formation,set3_features,GPR,exploitation,-3.611940726847635,-8.628168910395603,-10.565318316291137,6.853126578422788,-0.3676882892221654,-0.9376733474622094,11.851124608806826,11.48343631958466,10
Formation,set3_features,GPR,exploration,-6.163808142915408,-8.418254988848778,-12.221818178131779,-0.22239731705533128,-0.6808753659948035,-0.9205398962821425,12.164311685579463,11.48343631958466,10
Formation,set3_features,GPR,hybrid,-2.9928303504010474,-1.8339931807224394,-6.492114819289495,3.0197302513962856,-0.3274728133071628,-0.23960302733872307,11.810909132891823,11.48343631958466,10
Formation,set3_features,GPR,random_selection,0.0,0.0,0.0,0.0,0.0,0.0,11.48343631958466,11.48343631958466,10
Formation,set3_features,RF,coverage,-13.878713113554724,-20.163029310850114,-27.39715806301195,-3.149973957343599,-1.3046613893507597,-2.232254262709078,13.718230391669323,12.413569002318564,10
Formation,set3_features,RF,diversity_iterative,-9.612210069171468,-14.289767828408282,-20.013037283901806,5.989318213087239,-0.8399861741507673,-1.7831338733843562,13.25355517646933,12.413569002318564,10
Formation,set3_features,RF,diversity_oneshot,-9.413879700459958,-16.49698587600571,-21.887895882135027,3.613054487568766,-0.7948739119521253,-1.5848773971758394,13.208442914270687,12.413569002318564,10
Formation,set3_features,RF,exploitation,-1.6479124383336434,0.034890491287678294,-7.230709115402749,7.244118116321129,0.16271836718178462,-0.014908777262050421,12.250850635136779,12.413569002318564,10
Formation,set3_features,RF,exploration,0.16311868576701788,-0.1230107743370128,-8.891750682767551,5.439856415667269,0.30683746861245,-0.04942182087849911,12.106731533706114,12.413569002318564,10
Formation,set3_features,RF,hybrid,-3.0676519425966635,-2.102028718099498,-16.329028233475878,7.310139263908055,0.00457792981733256,-0.23888792478476972,12.408991072501232,12.413569002318564,10
Formation,set3_features,RF,random_selection,0.0,0.0,0.0,0.0,0.0,0.0,12.413569002318564,12.413569002318564,10
