dataset,feature_set,model,acquisition,mean_alc_mape,median_alc_mape,sd_trial_alc_mape,mean_alc_area_mape_fraction,n_trials,min_checkpoints,max_checkpoints
ISU_ILCC,set1_dQn_m,RF,diversity_iterative,32.433179622981086,30.684733107217767,8.78935011210348,13.443805025069878,10,6,6
ISU_ILCC,set1_dQn_m,RF,diversity_oneshot,29.590527527958052,29.555453370836297,6.9686560045927814,12.26550363853183,10,6,6
ISU_ILCC,set1_dQn_m,RF,exploitation,33.987735886240294,30.745975930093813,13.513725353991076,14.088180678234314,10,6,6
ISU_ILCC,set1_dQn_m,RF,exploration,33.25926943499228,30.546141523830748,14.007200326565975,13.786225672535656,10,6,6
ISU_ILCC,set1_dQn_m,RF,hybrid,31.747751353037312,29.35430041582719,10.905946653538848,13.159689680015465,10,6,6
ISU_ILCC,set1_dQn_m,RF,random_selection,30.603227604050268,29.460859154417683,10.37612385006301,12.685275690798035,10,6,6
ISU_ILCC,set2_early_soh,AE_ENet,coverage,33.478601257595145,33.87404574609682,5.271369863114094,13.877140417656017,10,6,6
ISU_ILCC,set2_early_soh,AE_ENet,diversity_iterative,32.76664733190078,32.76789807380199,5.006906765651242,13.582029982135035,10,6,6
ISU_ILCC,set2_early_soh,AE_ENet,diversity_oneshot,33.56181181830418,34.01128150890128,4.796342739388042,13.911631841784114,10,6,6
ISU_ILCC,set2_early_soh,AE_ENet,exploitation,35.399289389355104,33.60969676606476,8.350152581098508,14.673280575898488,10,6,6
ISU_ILCC,set2_early_soh,AE_ENet,exploration,34.540971170780345,34.47362714228137,6.219597859774052,14.317501003432266,10,6,6
ISU_ILCC,set2_early_soh,AE_ENet,hybrid,34.01132908322415,34.470647959981434,6.009435675324655,14.09796024175094,10,6,6
ISU_ILCC,set2_early_soh,AE_ENet,random_selection,32.51983044188321,31.936287095167813,5.127473259040356,13.479722462956769,10,6,6
ISU_ILCC,set2_early_soh,GPR,coverage,36.34641567873349,34.60090126662267,9.362252107768219,15.065871783930978,10,6,6
ISU_ILCC,set2_early_soh,GPR,diversity_iterative,35.99387178727292,36.08554286223291,7.031199447843819,14.91973960094214,10,6,6
ISU_ILCC,set2_early_soh,GPR,diversity_oneshot,35.98458294294518,36.65744031582936,7.163046537927655,14.915889302775202,10,6,6
ISU_ILCC,set2_early_soh,GPR,exploitation,44.03094557435456,40.98472720921787,17.314216687893953,18.251169149991522,10,6,6
ISU_ILCC,set2_early_soh,GPR,exploration,37.87030818672588,35.967037179329424,10.32045433345034,15.697537072217978,10,6,6
ISU_ILCC,set2_early_soh,GPR,hybrid,36.14866877617798,35.01168687022506,8.220046515208217,14.983904155928693,10,6,6
ISU_ILCC,set2_early_soh,GPR,random_selection,38.63672565121871,36.542778045602944,12.05059872265458,16.015223067862674,10,6,6
ISU_ILCC,set2_early_soh,RF,coverage,39.61653364568508,38.15492865346175,11.507831942755654,16.421361096657026,10,6,6
ISU_ILCC,set2_early_soh,RF,diversity_iterative,37.87389190097699,40.2771219465037,8.500580020447432,15.699022549627767,10,6,6
ISU_ILCC,set2_early_soh,RF,diversity_oneshot,38.36949244260186,39.29559684959841,7.633162214487206,15.904452825948955,10,6,6
ISU_ILCC,set2_early_soh,RF,exploitation,39.633567802328756,38.113317342571236,11.892326857894727,16.42842188697565,10,6,6
ISU_ILCC,set2_early_soh,RF,exploration,41.07407919269328,37.059153369424536,14.374686113571805,17.025525053966124,10,6,6
ISU_ILCC,set2_early_soh,RF,hybrid,40.86342906892627,35.40084593785055,12.658834937334042,16.938208940487574,10,6,6
ISU_ILCC,set2_early_soh,RF,random_selection,39.791759767328884,39.74109920013963,10.255959654037872,16.49399368593943,10,6,6
ISU_ILCC,set3_features,AE_ENet,coverage,24.03039459436348,22.6035555260476,6.150866269330206,9.960785324088487,10,6,6
ISU_ILCC,set3_features,AE_ENet,diversity_iterative,25.35592800456838,23.170332299878268,5.6255924551166165,10.510229224691555,10,6,6
ISU_ILCC,set3_features,AE_ENet,diversity_oneshot,24.03995734897656,22.706301670903294,5.522322840210173,9.964749160197536,10,6,6
ISU_ILCC,set3_features,AE_ENet,exploitation,24.254734262043915,22.75661835600787,4.4046734906901746,10.053775859914575,10,6,6
ISU_ILCC,set3_features,AE_ENet,exploration,24.15335221982983,22.83636669757449,5.362969351761604,10.011752215473503,10,6,6
ISU_ILCC,set3_features,AE_ENet,hybrid,24.01633904343162,23.153229394577608,5.434368140655398,9.9549591889872,10,6,6
ISU_ILCC,set3_features,AE_ENet,random_selection,24.33122573866334,22.431906372234803,6.026567467882381,10.085482171466667,10,6,6
ISU_ILCC,set3_features,GPR,coverage,24.163661604098863,24.474185597477373,6.116868098822798,10.016025535377764,10,6,6
ISU_ILCC,set3_features,GPR,diversity_iterative,25.102447484592368,25.86823347550439,4.372392233773462,10.405159579105641,10,6,6
ISU_ILCC,set3_features,GPR,diversity_oneshot,24.085798135878868,24.052409269923782,5.465632275286299,9.983750522644087,10,6,6
ISU_ILCC,set3_features,GPR,exploitation,27.948879929933906,27.26231940171104,8.729096405717735,11.585027950231668,10,6,6
ISU_ILCC,set3_features,GPR,exploration,24.377749959151497,24.5417050489624,5.976040154114435,10.104766822446214,10,6,6
ISU_ILCC,set3_features,GPR,hybrid,24.451686984882663,24.552076920233652,6.429522906396429,10.135414294251877,10,6,6
ISU_ILCC,set3_features,GPR,random_selection,25.445482636511194,23.68860777873364,6.139972985381589,10.547350315652306,10,6,6
ISU_ILCC,set3_features,RF,coverage,30.003169793415186,29.765796664927002,7.274453275362731,12.436547064628055,10,6,6
ISU_ILCC,set3_features,RF,diversity_iterative,31.48577358424128,31.36058349943744,6.829856360459596,13.05109785875286,10,6,6
ISU_ILCC,set3_features,RF,diversity_oneshot,30.681429293797244,30.138975407288168,7.268095311885385,12.71769089898331,10,6,6
ISU_ILCC,set3_features,RF,exploitation,31.30892465077894,32.159370874892204,8.54239221668297,12.977792601359145,10,6,6
ISU_ILCC,set3_features,RF,exploration,31.803530298159593,30.163096355442672,9.258226160235093,13.182810486283765,10,6,6
ISU_ILCC,set3_features,RF,hybrid,29.291298310542857,27.1678737123737,8.418023690429127,12.141470802297555,10,6,6
ISU_ILCC,set3_features,RF,random_selection,29.873451780218243,28.96765678727789,8.099033984115609,12.382777939986834,10,6,6
ISU_ILCC,set4_features_metadata,AE_ENet,coverage,19.969990946260157,20.76940518397893,2.8829298855787644,8.277716454408353,10,6,6
ISU_ILCC,set4_features_metadata,AE_ENet,diversity_iterative,20.14426352615269,19.911102823996217,3.0894759522823785,8.349953793223913,10,6,6
ISU_ILCC,set4_features_metadata,AE_ENet,diversity_oneshot,19.864133026463456,19.532587011757755,3.124978012628975,8.233837523922674,10,6,6
ISU_ILCC,set4_features_metadata,AE_ENet,exploitation,22.10593472241373,21.227162988078668,5.241949741537356,9.163081750223306,10,6,6
