dataset,acquisition,nfp_percent,pool_n,duration_unit,n_observations,n_trials,n_feature_model_combinations,required_full_life_tests_median,required_full_life_tests_q25,required_full_life_tests_q75,required_pool_fraction_pct_median,required_pool_fraction_pct_q25,required_pool_fraction_pct_q75,required_duration_median,required_duration_q25,required_duration_q75
KIT,exploration,92,66,EFC,107,10,15,30.0,18.0,54.0,45.45454545454545,27.27272727272727,81.81818181818183,7589.438630347521,4780.317646448136,14689.968191854929
KIT,exploration,95,66,EFC,107,10,15,30.0,18.0,54.0,45.45454545454545,27.27272727272727,81.81818181818183,7822.230971254054,4781.444706324977,15234.09021753407
KIT,exploration,98,66,EFC,107,10,15,30.0,18.0,60.0,45.45454545454545,27.27272727272727,90.9090909090909,8765.293691504237,4841.517160959702,15920.06575444982
KIT,exploitation,92,66,EFC,107,10,15,30.0,18.0,48.0,45.45454545454545,27.27272727272727,72.72727272727273,9720.24723658077,5292.605970659204,13941.726481803857
KIT,exploitation,95,66,EFC,107,10,15,36.0,21.0,48.0,54.54545454545454,31.81818181818182,72.72727272727273,10278.073764109173,5457.757836280391,14120.854562714778
KIT,exploitation,98,66,EFC,107,10,15,36.0,24.0,54.0,54.54545454545454,36.36363636363637,81.81818181818183,11368.372929286494,5811.159279939661,14452.33738533726
KIT,hybrid,92,66,EFC,107,10,15,30.0,15.0,54.0,45.45454545454545,22.727272727272727,81.81818181818183,8558.076243205142,3696.3356342391753,16029.35904199515
KIT,hybrid,95,66,EFC,107,10,15,36.0,18.0,60.0,54.54545454545454,27.27272727272727,90.9090909090909,9158.709893647909,4007.202287360488,16206.182139218105
KIT,hybrid,98,66,EFC,107,10,15,36.0,18.0,60.0,54.54545454545454,27.27272727272727,90.9090909090909,10093.384622853791,4360.992317335,17139.443841309407
Formation,random_selection,92,146,cycles,136,10,15,60.0,36.0,111.0,41.0958904109589,24.65753424657534,76.02739726027397,5899.0,3440.0,10804.25
Formation,random_selection,95,146,cycles,136,10,15,72.0,48.0,120.0,49.31506849315068,32.87671232876712,82.1917808219178,6721.0,4262.0,11272.0
Formation,random_selection,98,146,cycles,136,10,15,84.0,48.0,132.0,57.53424657534247,32.87671232876712,90.41095890410958,7958.0,4325.0,12315.25
Formation,diversity_oneshot,92,146,cycles,136,10,15,48.0,36.0,72.0,32.87671232876712,24.65753424657534,49.31506849315068,4645.0,3362.0,6807.5
Formation,diversity_oneshot,95,146,cycles,136,10,15,54.0,36.0,87.0,36.98630136986301,24.65753424657534,59.589041095890416,5101.5,3455.5,8096.5
Formation,diversity_oneshot,98,146,cycles,136,10,15,60.0,36.0,96.0,41.0958904109589,24.65753424657534,65.75342465753424,5687.0,3510.25,9061.25
Formation,diversity_iterative,92,146,cycles,136,10,15,72.0,36.0,111.0,49.31506849315068,24.65753424657534,76.02739726027397,6748.0,3591.5,10305.75
Formation,diversity_iterative,95,146,cycles,136,10,15,84.0,48.0,120.0,57.53424657534247,32.87671232876712,82.1917808219178,7622.0,4468.5,11114.0
Formation,diversity_iterative,98,146,cycles,136,10,15,96.0,48.0,132.0,65.75342465753424,32.87671232876712,90.41095890410958,8763.0,4728.75,11939.25
Formation,coverage,92,146,cycles,136,10,15,72.0,48.0,108.0,49.31506849315068,32.87671232876712,73.97260273972603,6944.5,4722.75,10126.5
Formation,coverage,95,146,cycles,136,10,15,84.0,57.0,120.0,57.53424657534247,39.04109589041096,82.1917808219178,7594.0,5045.25,10757.5
Formation,coverage,98,146,cycles,136,10,15,84.0,60.0,132.0,57.53424657534247,41.0958904109589,90.41095890410958,7715.0,5696.0,11738.75
Formation,exploration,92,146,cycles,136,10,15,60.0,36.0,108.0,41.0958904109589,24.65753424657534,73.97260273972603,5827.0,3587.5,9750.5
Formation,exploration,95,146,cycles,136,10,15,72.0,48.0,108.0,49.31506849315068,32.87671232876712,73.97260273972603,6401.5,4275.75,10116.0
Formation,exploration,98,146,cycles,136,10,15,84.0,48.0,132.0,57.53424657534247,32.87671232876712,90.41095890410958,7603.0,4309.75,11925.0
Formation,exploitation,92,146,cycles,136,10,15,72.0,48.0,108.0,49.31506849315068,32.87671232876712,73.97260273972603,5910.5,3999.75,9898.25
Formation,exploitation,95,146,cycles,136,10,15,72.0,48.0,120.0,49.31506849315068,32.87671232876712,82.1917808219178,6502.5,4150.0,10947.75
Formation,exploitation,98,146,cycles,136,10,15,72.0,48.0,132.0,49.31506849315068,32.87671232876712,90.41095890410958,6859.0,4282.0,11716.0
Formation,hybrid,92,146,cycles,136,10,15,72.0,36.0,108.0,49.31506849315068,24.65753424657534,73.97260273972603,6597.0,3610.0,10199.25
Formation,hybrid,95,146,cycles,136,10,15,72.0,48.0,120.0,49.31506849315068,32.87671232876712,82.1917808219178,6886.5,4227.0,11291.5
Formation,hybrid,98,146,cycles,136,10,15,84.0,48.0,132.0,57.53424657534247,32.87671232876712,90.41095890410958,7735.5,4227.0,12268.0
TRI_Tesla,random_selection,92,107,EFC,139,10,15,48.0,32.0,80.0,44.85981308411215,29.906542056074763,74.76635514018692,3945.6665324021633,2446.4546219396734,6650.715952122883
TRI_Tesla,random_selection,95,107,EFC,139,10,15,56.0,32.0,88.0,52.33644859813084,29.906542056074763,82.2429906542056,4817.731471480009,2485.477462371339,6832.41710568661
TRI_Tesla,random_selection,98,107,EFC,139,10,15,72.0,40.0,96.0,67.28971962616822,37.38317757009346,89.7196261682243,5472.234572271377,2870.06588979054,7784.974051128031
TRI_Tesla,diversity_oneshot,92,107,EFC,139,10,15,48.0,24.0,72.0,44.85981308411215,22.42990654205608,67.28971962616822,3799.904562593317,2045.7177967611829,5878.062913974505
TRI_Tesla,diversity_oneshot,95,107,EFC,139,10,15,48.0,24.0,80.0,44.85981308411215,22.42990654205608,74.76635514018692,3822.533370484117,2104.236298839682,6162.489642541534
TRI_Tesla,diversity_oneshot,98,107,EFC,139,10,15,56.0,32.0,80.0,52.33644859813084,29.906542056074763,74.76635514018692,4453.026700053511,2382.9034355365748,6554.530768325088
TRI_Tesla,diversity_iterative,92,107,EFC,139,10,15,64.0,32.0,92.0,59.813084112149525,29.906542056074763,85.98130841121494,5767.148769356435,2843.1770722289684,7794.548938976748
TRI_Tesla,diversity_iterative,95,107,EFC,139,10,15,72.0,36.0,96.0,67.28971962616822,33.64485981308411,89.7196261682243,6353.701018803717,3217.4431422641564,8404.053208714937
TRI_Tesla,diversity_iterative,98,107,EFC,139,10,15,80.0,44.0,104.0,74.76635514018692,41.12149532710281,97.196261682243,7100.444219542376,3786.813697506212,8826.043394703755
TRI_Tesla,coverage,92,107,EFC,139,10,15,48.0,24.0,76.0,44.85981308411215,22.42990654205608,71.02803738317758,3335.669301834394,1966.4472616817316,5615.069646029522
TRI_Tesla,coverage,95,107,EFC,139,10,15,48.0,32.0,80.0,44.85981308411215,29.906542056074763,74.76635514018692,3930.906532470901,2089.93752838518,5993.294726856891
