dataset,feature_set,regressor,target_transform,pool_holdout_split_mode,method,trial,budget_total,mape
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,8,36.58819017791941
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,16,20.60002116184175
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,24,18.03133423373428
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,32,14.61224078591499
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,40,14.077585175667364
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,48,13.377005993250442
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,56,9.98225963905217
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,64,10.137158716529978
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,72,9.700800249103818
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,80,9.05907496576502
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,88,9.464914371099372
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,96,9.624206916724294
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,random_selection,10,99,9.810460365477986
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,8,26.12071949336208
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,16,22.07218842379664
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,24,21.37591620849089
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,32,19.428279796847683
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,40,21.60586979628665
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,48,21.23322334909832
MIT,set5_features_metadata_corr95,GPR,log,protocol_holdout,diversity_oneshot,1,56,19.326522063539507
