dataset,feature_set,model,trial,full_pool_mape,model_family
ISU_ILCC,set2_early_soh,AE_ENet,10,31.447931953337736,Primary ML
ISU_ILCC,set2_early_soh,GPR,1,30.005704391900093,Primary ML
ISU_ILCC,set2_early_soh,GPR,2,25.280473085281947,Primary ML
ISU_ILCC,set2_early_soh,GPR,3,36.81422921927385,Primary ML
ISU_ILCC,set2_early_soh,GPR,4,21.88094313811496,Primary ML
ISU_ILCC,set2_early_soh,GPR,5,34.846500827823405,Primary ML
ISU_ILCC,set2_early_soh,GPR,6,33.098674435492434,Primary ML
ISU_ILCC,set2_early_soh,GPR,7,36.84886955874476,Primary ML
ISU_ILCC,set2_early_soh,GPR,8,41.45117194247308,Primary ML
ISU_ILCC,set2_early_soh,GPR,9,35.257131247957055,Primary ML
ISU_ILCC,set2_early_soh,GPR,10,32.15602305797355,Primary ML
ISU_ILCC,set2_early_soh,RF,1,34.79516052900219,Primary ML
ISU_ILCC,set2_early_soh,RF,2,31.67471836057805,Primary ML
ISU_ILCC,set2_early_soh,RF,3,39.45476740977477,Primary ML
ISU_ILCC,set2_early_soh,RF,4,22.6587922991534,Primary ML
ISU_ILCC,set2_early_soh,RF,5,39.84028408144045,Primary ML
ISU_ILCC,set2_early_soh,RF,6,38.48634947979655,Primary ML
ISU_ILCC,set2_early_soh,RF,7,37.724924586345274,Primary ML
ISU_ILCC,set2_early_soh,RF,8,47.91301175820985,Primary ML
ISU_ILCC,set2_early_soh,RF,9,41.75542246132296,Primary ML
ISU_ILCC,set2_early_soh,RF,10,35.30689552887017,Primary ML
ISU_ILCC,set3_features,AE_ENet,1,18.627733907336143,Primary ML
ISU_ILCC,set3_features,AE_ENet,2,20.856812646174184,Primary ML
ISU_ILCC,set3_features,AE_ENet,3,17.819878037453694,Primary ML
ISU_ILCC,set3_features,AE_ENet,4,18.039219440028265,Primary ML
ISU_ILCC,set3_features,AE_ENet,5,26.865809473390183,Primary ML
ISU_ILCC,set3_features,AE_ENet,6,20.529358624746777,Primary ML
ISU_ILCC,set3_features,AE_ENet,7,24.70661045692433,Primary ML
ISU_ILCC,set3_features,AE_ENet,8,29.903669476129576,Primary ML
ISU_ILCC,set3_features,AE_ENet,9,23.138847375916907,Primary ML
ISU_ILCC,set3_features,AE_ENet,10,22.960443834434138,Primary ML
ISU_ILCC,set3_features,GPR,1,16.978511515353535,Primary ML
ISU_ILCC,set3_features,GPR,2,22.374781377492635,Primary ML
ISU_ILCC,set3_features,GPR,3,17.062599802037802,Primary ML
ISU_ILCC,set3_features,GPR,4,20.432099052675515,Primary ML
ISU_ILCC,set3_features,GPR,5,22.14808934699281,Primary ML
ISU_ILCC,set3_features,GPR,6,24.14251838966436,Primary ML
ISU_ILCC,set3_features,GPR,7,22.22167176228711,Primary ML
ISU_ILCC,set3_features,GPR,8,32.559632356379566,Primary ML
ISU_ILCC,set3_features,GPR,9,22.705673299046214,Primary ML
ISU_ILCC,set3_features,GPR,10,22.9382767253602,Primary ML
ISU_ILCC,set3_features,RF,1,19.07641572000048,Primary ML
ISU_ILCC,set3_features,RF,2,22.87352325648987,Primary ML
ISU_ILCC,set3_features,RF,3,22.58011798765951,Primary ML
ISU_ILCC,set3_features,RF,4,18.145626866550597,Primary ML
ISU_ILCC,set3_features,RF,5,27.60510320751601,Primary ML
ISU_ILCC,set3_features,RF,6,29.27035430245516,Primary ML
