index,dataset,feature_set,regressor,method,labelled_pool_fraction_pct,labeled_train_count,max_budget_mean,error_reduction_mean_pp,error_reduction_sd_pp,n_trials,error_reduction_sem_pp
6023,LSD_Second,set5_features_metadata_corr95,GPR,diversity_oneshot,41.37931034482759,24,58,0.6561604494596999,6.947661293261905,10,2.1970434098098672
6024,LSD_Second,set5_features_metadata_corr95,GPR,diversity_oneshot,51.724137931034484,30,58,0.7697060948014581,6.634674734097849,10,2.098068369412121
6025,LSD_Second,set5_features_metadata_corr95,GPR,diversity_oneshot,62.06896551724138,36,58,-1.6113825921759086,3.110628919039805,10,0.9836672339753288
6026,LSD_Second,set5_features_metadata_corr95,GPR,diversity_oneshot,72.41379310344827,42,58,0.43202848751941103,2.798850558014651,10,0.8850742593759533
6027,LSD_Second,set5_features_metadata_corr95,GPR,diversity_oneshot,82.75862068965517,48,58,1.439460324384081,3.8879141151284218,10,1.229466395092392
6028,LSD_Second,set5_features_metadata_corr95,GPR,diversity_oneshot,93.10344827586206,54,58,-0.14881015936041475,1.6306239371204874,10,0.5156485648491925
6029,LSD_Second,set5_features_metadata_corr95,GPR,diversity_oneshot,100.0,58,58,0.0,0.0,10,0.0
6030,LSD_Second,set5_features_metadata_corr95,GPR,exploitation,10.344827586206897,6,58,0.0,0.0,10,0.0
6031,LSD_Second,set5_features_metadata_corr95,GPR,exploitation,20.689655172413794,12,58,-6.276166047457396,16.41866098779901,10,5.19203648515949
6032,LSD_Second,set5_features_metadata_corr95,GPR,exploitation,31.03448275862069,18,58,-0.25564213558334004,7.961284190477375,10,2.51757911417983
6033,LSD_Second,set5_features_metadata_corr95,GPR,exploitation,41.37931034482759,24,58,0.8830149006574473,7.0971826073432505,10,2.244326200933713
6034,LSD_Second,set5_features_metadata_corr95,GPR,exploitation,51.724137931034484,30,58,-0.28118067881593356,7.483146580172185,10,2.3663787258243905
6035,LSD_Second,set5_features_metadata_corr95,GPR,exploitation,62.06896551724138,36,58,-0.24324789701609664,4.628974379257634,10,1.4638102269018205
6036,LSD_Second,set5_features_metadata_corr95,GPR,exploitation,72.41379310344827,42,58,0.8893615460397655,5.045521464984838,10,1.5955339812621587
